interaction_score,approved,immunotherapy,anti_neoplastic,mutation_count,pathway_count,drug_count,degree,graph_degree,pagerank,betweenness,closeness,component
1.7502557,False,False,False,4.0,71.0,10.0,81.0,3056.0,0.0006121607703027,0.0022771031058289,0.7442455242966752,0.0
0.0,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3977854,False,False,True,3869.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0
0.09393144,False,False,True,800.0,6.0,43.0,49.0,1558.0,0.0003087529996629,0.0002307244722438,0.6004642765024504,0.0
0.3409589,False,False,False,581.0,87.0,14.0,101.0,2164.0,0.0004109775375094,0.000337568077921,0.6513710128707331,0.0
0.06199253,False,False,False,36.0,75.0,75.0,150.0,2501.0,0.0005295572674678,0.0019857373280878,0.6836000587285274,0.0
3.750548,False,False,False,176.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0
13.126918,False,False,False,22.0,19.0,2.0,21.0,1406.0,0.000275037255711,6.129070694774174e-05,0.5889198077409562,0.0
0.244791,False,False,True,3869.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0
0.9211872,False,False,False,76.0,14.0,19.0,33.0,1342.0,0.0002968391197441,0.0002424134946788,0.5841907151819322,0.0
8.751279,False,False,True,162.0,6.0,1.0,7.0,867.0,0.0001953127358988,0.0001128823699062,0.5513321492007105,0.0
1.4585464,False,False,False,442.0,6.0,18.0,24.0,1043.0,0.0002091270178017,0.0,0.562386761686194,0.0
0.937637,False,False,False,173.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
0.078136414,False,False,False,2629.0,13.0,48.0,61.0,1670.0,0.0003420538216618,0.0003378466427724,0.6092645904213556,0.0
0.14039484,False,False,False,220.0,4.0,34.0,38.0,882.0,0.0001890046623782,0.0,0.5523131672597865,0.0
0.21172448,False,False,False,697.0,0.0,124.0,124.0,0.0,0.0,0.0,0.0,0.0
0.35719505,False,False,True,158.0,28.0,21.0,49.0,2223.0,0.0004219571399611,0.0005355137461475,0.6567922132881929,0.0
0.14585464,False,False,True,3539.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0
0.03155509,False,False,True,72.0,0.0,208.0,208.0,0.0,0.0,0.0,0.0,0.0
0.034118045,False,False,False,8786.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0
0.6177373,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11906502,False,False,True,1041.0,33.0,63.0,96.0,1152.0,0.0002439796822529,0.0001402186621477,0.5698898408812729,0.0
1.4585464,False,False,False,1455.0,43.0,17.0,60.0,2801.0,0.0005635585976292,0.001523800979359,0.7150975272615574,0.0
0.08751278,False,False,True,86.0,62.0,25.0,87.0,1504.0,0.0003445121709494,0.0006222960391286,0.5963114754098361,0.0
0.35478157,False,False,False,8091.0,0.0,148.0,148.0,0.0,0.0,0.0,0.0,0.0
1.7502557,False,False,False,14.0,71.0,10.0,81.0,3056.0,0.0006121607703027,0.0022771031058289,0.7442455242966752,0.0
0.054187484,False,False,False,656.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0
3.750548,False,False,True,386.0,32.0,6.0,38.0,2471.0,0.0004769577865811,0.0006797277178531,0.6806022511328753,0.0
0.20836377,False,False,False,119.0,80.0,41.0,121.0,2808.0,0.0005681078760005,0.001756113775661,0.7158671586715867,0.0
0.64824283,False,False,True,510.0,98.0,27.0,125.0,2965.0,0.0005953775939376,0.0016654995833147,0.7335749172837561,0.0
0.7501096,False,False,True,14.0,71.0,10.0,81.0,3056.0,0.0006121607703027,0.0022771031058289,0.7442455242966752,0.0
0.1598407,False,False,False,38894.0,0.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0
3.750548,False,False,True,1436.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
0.062808216,False,False,False,2061.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0
0.028977744,False,False,True,7838.0,0.0,453.0,453.0,0.0,0.0,0.0,0.0,0.0
3.750548,False,False,True,76.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
0.06109095,False,False,False,3123.0,0.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0
0.7501096,False,False,True,4.0,71.0,10.0,81.0,3056.0,0.0006121607703027,0.0022771031058289,0.7442455242966752,0.0
1.0295622,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17272261,False,False,True,739.0,142.0,76.0,218.0,2481.0,0.0004938481813868,0.0010133636636747,0.681598594642073,0.0
2.5003653,False,False,False,198.0,13.0,7.0,20.0,1122.0,0.0002339937128007,7.977277854268973e-05,0.5678048780487804,0.0
0.3889457,False,False,False,368.0,2.0,45.0,47.0,72.0,5.227172128263621e-05,0.0,0.4630992639745375,0.0
0.3750548,False,False,True,194.0,36.0,20.0,56.0,2267.0,0.0004404776754977,0.0007284634191239,0.6608942512420156,0.0
0.07549629,False,False,True,2638.0,47.0,106.0,153.0,1842.0,0.0003598919241319,0.0002251679548678,0.623293172690763,0.0
0.85610336,False,False,False,603.0,0.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0
0.6035364,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.049723174,False,False,True,174.0,41.0,43.0,84.0,2270.0,0.0004607980673606,0.0008385477836625,0.6611758023288838,0.0
1.2501826,False,False,False,128.0,4.0,14.0,18.0,798.0,0.0001727283395964,0.0,0.5468639887244539,0.0
0.36212188,False,False,False,186.0,119.0,143.0,262.0,3576.0,0.0007200104162876,0.0037208373890169,0.8117154811715481,0.0
5.250767,False,False,False,128.0,4.0,5.0,9.0,798.0,0.0001727283395964,0.0,0.5468639887244539,0.0
2.9170928,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54695493,False,False,True,248.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
6.563459,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.82043236,False,False,False,7515.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0
0.54695493,False,False,True,134.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
0.10629083,False,False,True,739.0,142.0,76.0,218.0,2481.0,0.0004938481813868,0.0010133636636747,0.681598594642073,0.0
1.3463506,False,False,True,170.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
0.16434325,False,False,True,6134.0,45.0,141.0,186.0,2485.0,0.0004839486333762,0.0007481857678584,0.6819979493188809,0.0
