gene_symbol,mutation_count,pathway_count,drug_count,degree
ABCA12;ATIC;BARD1;FN1,2,0.0,0.0,0
ABCA12;ATIC;BARD1;FN1;SPAG16;VWC2L,2,0.0,0.0,0
ABCA12;BARD1,1,0.0,0.0,0
ABCA12;BARD1;CPS1;ERBB4;IKZF2;SPAG16;VWC2L,1,0.0,0.0,0
ABCA12;BARD1;VWC2L,1,0.0,0.0,0
ABCA12;LOC129388992;SNHG31;SNORA70I,2,0.0,0.0,0
ABCA13,1884,3.0,0.0,3
ABCA13;C7orf57;HUS1;LINC02902;PKD1L1;PKD1L1-AS1;SUN3;TNS3;UPP1,1,0.0,0.0,0
ABCA13;LOC126860027;LOC126860028;LOC129998422,2,0.0,0.0,0
ABCA13;LOC126860028;LOC129998422,2,0.0,0.0,0
ABCA2,1356,3.0,77.0,80
ABCA2;FUT7;LINC02908;LOC130003066;NPDC1,2,0.0,0.0,0
ABCA3,3799,12.0,97.0,109
ABCA4,9189,10.0,44.0,54
ABCA4;BCAR3;DNTTIP2;FNBP1L;GCLM,1,0.0,0.0,0
ABCA4;BCAR3;DNTTIP2;GCLM,1,0.0,0.0,0
ABCA4;LOC126805793,2,0.0,0.0,0
ABCA5,600,3.0,1.0,4
ABCA6,508,8.0,0.0,8
ABCA6;ABCA9,1,0.0,0.0,0
ABCA7,1130,3.0,0.0,3
ABCA8,594,2.0,0.0,2
ABCA9,488,3.0,0.0,3
ABCB1,1498,0.0,234.0,234
ABCB10,260,3.0,0.0,3
ABCB10;GALNT2;NUP133;TAF5L;URB2,1,0.0,0.0,0
ABCB11,4395,0.0,11.0,11
ABCB11;BBS5;DHRS9;LRP2,1,0.0,0.0,0
ABCB11;DHRS9;LRP2,1,0.0,0.0,0
ABCB1;CROT;ABCB4,1,0.0,0.0,0
ABCB4,2975,0.0,5.0,5
ABCB4;LOC129998755;LOC129998756;LOC129998757;LOC129998758,2,0.0,0.0,0
ABCB4;RUNDC3B;DBF4;TMEM243;SLC25A40;ABCB1;CROT,1,0.0,0.0,0
ABCB5,480,2.0,1.0,3
ABCB5;FERD3L;HDAC9;ITGB8;MACC1;POLR1F;SP8;TMEM196;TWIST1,1,0.0,0.0,0
ABCB5;LINC01162;LOC110120786;LOC110120964;LOC126859959;LOC129998034;LOC129998035;LOC129998036;SP8,2,0.0,0.0,0
ABCB5;SP8,1,0.0,0.0,0
ABCB6,656,7.0,0.0,7
ABCB7,831,5.0,53.0,58
ABCB7;FTX;NEXMIF;RLIM;SLC16A2;UPRT;ZCCHC13,1,0.0,0.0,0
ABCB7;LOC130068449;LOC130068450;LOC130068451;LOC130068452;UPRT,2,0.0,0.0,0
ABCB7;LOC130068449;UPRT,2,0.0,0.0,0
ABCB7;MAGEE1;MAGEE2;PBDC1;UPRT;ZDHHC15,1,0.0,0.0,0
