gene_symbol,drug_name,interaction_score,approved,immunotherapy,anti_neoplastic,mutation_count,pathway_count,drug_count,degree,target
EWSR1,WZ4003,6.563459,False,False,False,246.0,0.0,4.0,4.0,0
BRAF,PLX-4720,0.5223276,False,False,True,3123.0,0.0,188.0,188.0,0
SMAD3,MK-2206,0.03821519,False,False,True,2580.0,0.0,229.0,229.0,0
MAPKAP1,OSI-027,1.9447286,False,False,True,138.0,0.0,3.0,3.0,1
AXL,BMS-754807,0.24309108,False,False,True,605.0,0.0,47.0,47.0,1
UGT1A10,SN-38,0.19739726,False,False,False,82.0,0.0,19.0,19.0,1
PIK3CB,AZD6482,0.04630306,False,False,False,279.0,0.0,117.0,117.0,0
F10,AZD1208,0.21431702,False,False,False,332.0,20.0,49.0,69.0,0
BRAF,AZD6482,0.06109095,False,False,False,3123.0,0.0,188.0,188.0,0
NRAS,PLX-4720,0.1270347,False,False,True,697.0,0.0,124.0,124.0,0
PTEN,AZD6482,0.15768069,False,False,False,8091.0,0.0,148.0,148.0,0
PTEN,PLX-4720,0.07095631,False,False,True,8091.0,0.0,148.0,148.0,0
GLC3B,I-BRD9,6.563459,False,False,False,0.0,0.0,0.0,0.0,0
CXCR3,IOX2,2.9170928,False,False,False,86.0,11.0,6.0,17.0,1
FRA9D,ML323,13.126918,False,False,False,0.0,0.0,0.0,0.0,0
CDK10,AZD5438,0.43756393,False,False,True,341.0,0.0,5.0,5.0,1
CDK2,AZD5438,0.056826483,False,False,True,36.0,75.0,75.0,150.0,1
CDK7,AZD5438,0.08751278,False,False,True,86.0,62.0,25.0,87.0,1
CDK15,AZD5438,0.54695493,False,False,True,130.0,0.0,4.0,4.0,1
CDK6,AZD5438,0.12154554,False,False,True,106.0,28.0,17.0,45.0,1
CDK20,AZD5438,0.54695493,False,False,True,248.0,0.0,4.0,4.0,1
AKT1S1,AZD8055,1.0097629,False,False,True,140.0,0.0,4.0,4.0,1
RPTOR,AZD8055,0.50488144,False,False,True,330.0,0.0,15.0,15.0,1
MAPKAP1,AZD8055,1.3463506,False,False,True,138.0,0.0,3.0,3.0,1
ROCK1,GSK269962A,0.3860858,False,False,False,207.0,0.0,34.0,34.0,1
EEF1D,ZM447439,0.076765604,False,False,False,428.0,3.0,36.0,39.0,0
SIRT2,AGK2,4.3756394,False,False,False,176.0,7.0,12.0,19.0,0
ARID1A,AZD8055,0.244791,False,False,True,3869.0,0.0,33.0,33.0,1
HRAS,AZD8055,0.10629083,False,False,True,739.0,142.0,76.0,218.0,1
TP53,SN-38,0.01655871,False,False,False,7838.0,0.0,453.0,453.0,1
CDK4,AZD5438,0.034727298,False,False,True,2635.0,56.0,61.0,117.0,1
IGF1R,BMS-754807,0.4403159,False,False,True,2695.0,14.0,50.0,64.0,1
PIK3CA,OSI-027,0.054020237,False,False,True,3208.0,0.0,215.0,215.0,1
